text,emotion
I received excellent news and felt extremely happy.,joy
My friends surprised me with a wonderful birthday celebration.,joy
I was very sad when my close friend moved away.,sadness
I felt terrible after hearing the disappointing news.,sadness
I became angry when someone treated me unfairly.,anger
I was furious because my colleague blamed me for something I did not do.,anger
I was afraid to walk alone in the dark.,fear
I felt scared when I heard a strange noise at night.,fear
I was surprised when I unexpectedly won the competition.,surprise
The unexpected announcement shocked everyone in the room.,surprise
I felt disgusted after seeing the dirty and rotten food.,disgust
The smell from the garbage made me feel sick and disgusted.,disgust
